issue_number,fix_commit_sha,changed_file,parent_commit_sha,note
43349,468c063e27bdb594beb7eb75db61dab3180902d1,model/infinispan/src/main/java/org/keycloak/models/sessions/infinispan/changes/InfinispanChangelogBasedTransaction.java,f66359ce197946ce9932a8aa08b175f3ba4954de,SZZ-lite file-level parent mapping only
43349,468c063e27bdb594beb7eb75db61dab3180902d1,model/infinispan/src/main/java/org/keycloak/models/sessions/infinispan/changes/PersistentSessionsChangelogBasedTransaction.java,f66359ce197946ce9932a8aa08b175f3ba4954de,SZZ-lite file-level parent mapping only
43349,468c063e27bdb594beb7eb75db61dab3180902d1,model/infinispan/src/main/java/org/keycloak/models/sessions/infinispan/changes/SessionUpdatesList.java,f66359ce197946ce9932a8aa08b175f3ba4954de,SZZ-lite file-level parent mapping only
43349,468c063e27bdb594beb7eb75db61dab3180902d1,model/infinispan/src/main/java/org/keycloak/models/sessions/infinispan/changes/SessionsChangelogBasedTransaction.java,f66359ce197946ce9932a8aa08b175f3ba4954de,SZZ-lite file-level parent mapping only
43349,468c063e27bdb594beb7eb75db61dab3180902d1,model/infinispan/src/main/java/org/keycloak/models/sessions/infinispan/changes/Tasks.java,f66359ce197946ce9932a8aa08b175f3ba4954de,SZZ-lite file-level parent mapping only
43349,468c063e27bdb594beb7eb75db61dab3180902d1,model/infinispan/src/main/java/org/keycloak/models/sessions/infinispan/changes/remote/updater/BaseUpdater.java,f66359ce197946ce9932a8aa08b175f3ba4954de,SZZ-lite file-level parent mapping only
43349,468c063e27bdb594beb7eb75db61dab3180902d1,model/infinispan/src/main/java/org/keycloak/models/sessions/infinispan/changes/remote/updater/client/AuthenticatedClientSessionUpdater.java,f66359ce197946ce9932a8aa08b175f3ba4954de,SZZ-lite file-level parent mapping only
43349,468c063e27bdb594beb7eb75db61dab3180902d1,model/infinispan/src/main/java/org/keycloak/models/sessions/infinispan/changes/remote/updater/user/AuthenticatedClientSessionMapping.java,f66359ce197946ce9932a8aa08b175f3ba4954de,SZZ-lite file-level parent mapping only
43349,468c063e27bdb594beb7eb75db61dab3180902d1,model/infinispan/src/main/java/org/keycloak/models/sessions/infinispan/changes/remote/updater/user/UserSessionUpdater.java,f66359ce197946ce9932a8aa08b175f3ba4954de,SZZ-lite file-level parent mapping only
43349,468c063e27bdb594beb7eb75db61dab3180902d1,model/infinispan/src/main/java/org/keycloak/models/sessions/infinispan/query/ClientSessionQueries.java,f66359ce197946ce9932a8aa08b175f3ba4954de,SZZ-lite file-level parent mapping only
43349,468c063e27bdb594beb7eb75db61dab3180902d1,model/infinispan/src/main/java/org/keycloak/models/sessions/infinispan/remote/RemoteUserSessionProvider.java,f66359ce197946ce9932a8aa08b175f3ba4954de,SZZ-lite file-level parent mapping only
43349,468c063e27bdb594beb7eb75db61dab3180902d1,server-spi/src/main/java/org/keycloak/models/UserSessionModel.java,f66359ce197946ce9932a8aa08b175f3ba4954de,SZZ-lite file-level parent mapping only
43349,468c063e27bdb594beb7eb75db61dab3180902d1,testsuite/integration-arquillian/tests/base/src/test/java/org/keycloak/testsuite/model/UserSessionProviderTest.java,f66359ce197946ce9932a8aa08b175f3ba4954de,SZZ-lite file-level parent mapping only
43394,5c5905fed3eb3285a8183259035b8c71b26e2135,services/src/main/java/org/keycloak/authentication/authenticators/client/FederatedJWTClientAuthenticator.java,468c063e27bdb594beb7eb75db61dab3180902d1,SZZ-lite file-level parent mapping only
43394,5c5905fed3eb3285a8183259035b8c71b26e2135,services/src/test/java/org/keycloak/authentication/authenticators/client/FederatedJWTClientAuthenticatorTest.java,468c063e27bdb594beb7eb75db61dab3180902d1,SZZ-lite file-level parent mapping only
43394,5c5905fed3eb3285a8183259035b8c71b26e2135,tests/base/src/test/java/org/keycloak/tests/client/authentication/external/SpiffeClientAuthTest.java,468c063e27bdb594beb7eb75db61dab3180902d1,SZZ-lite file-level parent mapping only
43447,38909da47dd760a16c870076aaf8d63edcbfe625,quarkus/runtime/src/test/java/org/keycloak/quarkus/runtime/configuration/DatasourcesConfigurationTest.java,567a8ab93f912b60f6c261d0100893ef6dd8a1b5,SZZ-lite file-level parent mapping only
43328,bda0e2a67c8cf41d1b3d9010e6dfcddaf79bf59b,docs/documentation/server_admin/topics/login-settings/remember-me.adoc,38909da47dd760a16c870076aaf8d63edcbfe625,SZZ-lite file-level parent mapping only
43328,bda0e2a67c8cf41d1b3d9010e6dfcddaf79bf59b,docs/documentation/upgrading/topics/changes/changes-26_5_0.adoc,38909da47dd760a16c870076aaf8d63edcbfe625,SZZ-lite file-level parent mapping only
43328,bda0e2a67c8cf41d1b3d9010e6dfcddaf79bf59b,js/apps/admin-ui/maven-resources/theme/keycloak.v2/admin/messages/messages_en.properties,38909da47dd760a16c870076aaf8d63edcbfe625,SZZ-lite file-level parent mapping only
43328,bda0e2a67c8cf41d1b3d9010e6dfcddaf79bf59b,services/src/main/java/org/keycloak/services/managers/AuthenticationManager.java,38909da47dd760a16c870076aaf8d63edcbfe625,SZZ-lite file-level parent mapping only
43328,bda0e2a67c8cf41d1b3d9010e6dfcddaf79bf59b,testsuite/integration-arquillian/tests/base/src/test/java/org/keycloak/testsuite/forms/LoginTest.java,38909da47dd760a16c870076aaf8d63edcbfe625,SZZ-lite file-level parent mapping only
43328,bda0e2a67c8cf41d1b3d9010e6dfcddaf79bf59b,testsuite/integration-arquillian/tests/base/src/test/java/org/keycloak/testsuite/session/SessionTimeoutValidationTest.java,38909da47dd760a16c870076aaf8d63edcbfe625,SZZ-lite file-level parent mapping only
43459,3b8bcd3f8a61f268a12e54e66176a6a58c49b21e,docs/guides/operator/advanced-configuration.adoc,f28e34ee79eadce35ee3722d3237fbeee27bdc76,SZZ-lite file-level parent mapping only
42166,4c4a333365447b466007a97a8d4e96e85ef7156b,tests/base/src/test/java/org/keycloak/tests/admin/group/GroupTest.java,0f573d19bfe2a7238d22e0dd349c45ce90235c3f,SZZ-lite file-level parent mapping only
43244,afd4d04dcf69c96e92a77a032e2ab8fbcaa705e8,js/libs/ui-shared/src/user-profile/OptionsComponent.tsx,4c4a333365447b466007a97a8d4e96e85ef7156b,SZZ-lite file-level parent mapping only
30939,a2cc51aed7692ec09c619f2a6f4ecc7055beb9e1,services/src/main/java/org/keycloak/services/managers/DefaultBruteForceProtector.java,afd4d04dcf69c96e92a77a032e2ab8fbcaa705e8,SZZ-lite file-level parent mapping only
